border_id,bdr_ctr_1_a3,bdr_ctr_2_a3
252,SKN,AAB
138,CHN,AFG
623,IRN,AFG
64,PAK,AFG
275,TKM,AFG
487,TJK,AFG   
571,UZB,AFG    
60,COD,AGO
396,COG,AGO
36,NAM,AGO
180,ZMB,AGO
71,SRB,ALB
310,GRC,ALB   
210,MKD,ALB   
626,MNE,ALB   
99,ESP,AND
419,FRA,AND
136,OMN,ARE
14,QAT,ARE
123,SAU,ARE
48,BOL,ARG
509,BRA,ARG
600,CHL,ARG
5,PAR,ARG
153,URU,ARG
423,AZE,ARM
306,GEO,ARM
461,TUR,ARM
618,IRN,ARM       
669,PNG,AUL
534,CHE,AUT
484,CZE,AUT
433,DEU,AUT
267,HUN,AUT
478,ITA,AUT
2,LIE,AUT
601,SVN,AUT
614,SVK,AUT
665,ARM,AZE
307,GEO,AZE
619,IRN,AZE
550,RUS,AZE
463,TUR,AZE
58,COD,BDI
320,RWA,BDI
634,TAZ,BDI
428,DEU,BEL
414,FRA,BEL
260,NLD,BEL 
359,LUX,BEL  
129,BFA,BEN
656,NIR,BEN
563,TGO,BEN  
197,NGA,BEN   
234,BEN,BFA
473,CIV,BFA
50,GHA,BFA
610,MLI,BFA
657,NIR,BFA
564,TGO,BFA
340,IND,BGD
105,MMR,BGD
312,GRC,BGR
213,MKD,BGR
449,ROU,BGR
76,SRB,BGR
460,TUR,BGR
13,QAT,BHR
121,SAU,BHR
43,LTU,BLR
217,LVA,BLR
586,POL,BLR
548,RUS,BLR
528,UKR,BLR
230,GTM,BLZ
499,MEX,BLZ
648,ARG,BOL
506,BRA,BOL
599,CHL,BOL
4,PAR,BOL
370,PER,BOL
256,HRV,BOS
629,MNE,BOS
74,SRB,BOS
45,BOL,BRA
388,COL,BRA
251,GUY,BRA
369,PER,BRA
379,SUR,BRA
438,VEN,BRA
152,URU,BRA 
3,PAR,BRA  
647,ARG,BRA    
226,MYS,BRN
146,CHN,BTN
338,IND,BTN
39,NAM,BWA
376,ZAF,BWA
185,ZMB,BWA
168,ZWE,BWA
539,CMR,CAF
54,COD,CAF
394,COG,CAF
349,SDN,CAF
679,SSD,CAF
517,TCD,CAF
157,LAO,CAM
160,THA,CAM
653,VNM,CAM
511,USA,CAN  
640,AUT,CHE
431,DEU,CHE
417,FRA,CHE
477,ITA,CHE
1,LIE,CHE
650,ARG,CHL
47,BOL,CHL
371,PER,CHL
297,AFG,CHN
681,HKG,CHN
497,KAZ,CHN
111,KGZ,CHN
336,MNG,CHN
65,PAK,CHN
93,PRK,CHN
554,RUS,CHN
490,TJK,CHN
309,TWN,CHN
662,BTN,CHN 
390,NPL,CHN 
652,VNM,CHN  
154,LAO,CHN    
102,MMR,CHN     
337,IND,CHN      
131,BFA,CIV
49,GHA,CIV
244,GIN,CIV
83,LBR,CIV
608,MLI,CIV
262,CAF,CMR
392,COG,CMR
588,GAB,CMR
175,GNQ,CMR
199,NGA,CMR
515,TCD,CMR
322,AGO,COD
278,BDI,COD
265,CAF,COD
395,COG,COD
317,RWA,COD
351,SDN,COD
631,TAZ,COD
407,UGA,COD
178,ZMB,COD
321,AGO,COG
264,CAF,COG
541,CMR,COG
55,COD,COG
589,GAB,COG
282,PAN,COL
400,ECU,COL 
436,VEN,COL   
367,PER,COL    
501,BRA,COL        
195,NIC,CRI
281,PAN,CRI
459,TUR,CYP
643,AUT,CZE
434,DEU,CZE
581,POL,CZE
616,SVK,CZE
641,AUT,DEU
240,BEL,DEU
533,CHE,DEU
482,CZE,DEU
247,DNK,DEU
420,FRA,DEU
361,LUX,DEU
261,NLD,DEU
580,POL,DEU
382,ETH,DJI
16,SOM,DJI
576,ERI,DJI   
186,YEM,DJI   
435,DEU,DNK
327,SWE,DNK
125,HTI,DOM
673,ESH,DZA
8,LBY,DZA
330,MAR,DZA
611,MLI,DZA
204,MRT,DZA
660,NIR,DZA
491,TUN,DZA
386,COL,ECU
368,PER,ECU
79,JOR,EGY
11,LBY,EGY
116,SAU,EGY
357,SDN,EGY
362,ISR,EGY    
165,DJI,ERI
383,ETH,ERI
355,SDN,ERI
187,YEM,ERI
674,DZA,ESH
675,MRT,ESH
676,MRT,ESH
316,AND,ESP
418,FRA,ESP
328,MAR,ESP
569,PRT,ESP
172,FIN,EST
215,LVA,EST
544,RUS,EST
164,DJI,ETH
577,ERI,ETH
443,KEN,ETH
354,SDN,ETH
17,SOM,ETH
678,SSD,ETH
592,EST,FIN
345,NOR,FIN
551,RUS,FIN
325,SWE,FIN  
315,AND,FRA
239,BEL,FRA
531,CHE,FRA
430,DEU,FRA
98,ESP,FRA
562,GBR,FRA
476,ITA,FRA
360,LUX,FRA
289,MCO,FRA
538,CMR,GAB
393,COG,GAB
176,GNQ,GAB
664,ARM,GEO
424,AZE,GEO
549,RUS,GEO
462,TUR,GEO
132,BFA,GHA
475,CIV,GHA
565,TGO,GHA
472,CIV,GIN
530,GNB,GIN
84,LBR,GIN
609,MLI,GIN
406,SEN,GIN
52,SLE,GIN
403,SEN,GMB
402,SEN,GNB    
241,GIN,GNB     
536,CMR,GNQ
587,GAB,GNQ
470,ALB,GRC
285,BGR,GRC
212,MKD,GRC
458,TUR,GRC        
126,SVG,GRN 
292,BLZ,GTM
595,HND,GTM
500,MEX,GTM
86,SLV,GTM
503,BRA,GUY
437,VEN,GUY
378,SUR,GUY 
680,CHN,HKG
231,GTM,HND
193,NIC,HND
87,SLV,HND
19,BOS,HRV
269,HUN,HRV
480,ITA,HRV
627,MNE,HRV
604,SVN,HRV
73,SRB,HRV
358,DOM,HTI
642,AUT,HUN
602,SVN,HUN
615,SVK,HUN
523,UKR,HUN
447,ROU,HUN    
253,HRV,HUN     
70,SRB,HUN       
304,TLS,IDN
663,BTN,IND
145,CHN,IND
412,LKA,IND
103,MMR,IND
